Date;New Corona Cases UK
20.04.2020;4744
21.04.2020;3881
22.04.2020;4441
23.04.2020;4795
24.04.2020;5517
25.04.2020;5167
26.04.2020;4961
27.04.2020;3757
28.04.2020;3476
29.04.2020;4739
30.04.2020;4719
01.05.2020;5433
02.05.2020;4961
03.05.2020;4766
04.05.2020;3258
05.05.2020;3002
06.05.2020;3398
07.05.2020;3686
08.05.2020;3832
09.05.2020;3787
10.05.2020;3064
11.05.2020;2170
12.05.2020;2337
13.05.2020;3612
14.05.2020;3410
15.05.2020;3330
16.05.2020;2630
17.05.2020;2530
18.05.2020;2082
19.05.2020;1837
20.05.2020;2581
21.05.2020;3063
22.05.2020;2719
23.05.2020;2567
24.05.2020;2057
25.05.2020;1532
26.05.2020;1373
27.05.2020;1625
28.05.2020;2070
29.05.2020;1825
30.05.2020;1757
31.05.2020;1531
01.06.2020;1132
02.06.2020;1080
03.06.2020;1439
04.06.2020;1492
05.06.2020;1369
06.06.2020;1249
07.06.2020;1123
08.06.2020;804
09.06.2020;722
10.06.2020;1099
11.06.2020;1165
12.06.2020;1196
13.06.2020;1013
14.06.2020;1053
15.06.2020;886
16.06.2020;826
17.06.2020;1045
18.06.2020;1103
19.06.2020;1017
20.06.2020;1022
21.06.2020;993
22.06.2020;683
23.06.2020;636
24.06.2020;899
25.06.2020;883
26.06.2020;777
27.06.2020;726
28.06.2020;666
29.06.2020;653
30.06.2020;449
01.07.2020;724
02.07.2020;623
03.07.2020;652
04.07.2020;606
05.07.2020;568
06.07.2020;399
07.07.2020;558
08.07.2020;714
09.07.2020;609
10.07.2020;713
11.07.2020;722
12.07.2020;568
13.07.2020;459
14.07.2020;366
15.07.2020;740
16.07.2020;705
17.07.2020;777
18.07.2020;712
19.07.2020;582
20.07.2020;505
21.07.2020;448
22.07.2020;830
23.07.2020;788
24.07.2020;816
25.07.2020;808
26.07.2020;774
27.07.2020;530
28.07.2020;563
29.07.2020;869
30.07.2020;856
31.07.2020;1062
01.08.2020;946
02.08.2020;698
03.08.2020;559
04.08.2020;564
05.08.2020;1060
06.08.2020;1066
07.08.2020;1092
08.08.2020;1105
09.08.2020;973
10.08.2020;710
11.08.2020;627
12.08.2020;1499
13.08.2020;1378
14.08.2020;1242
15.08.2020;1156
16.08.2020;1185
17.08.2020;714
18.08.2020;602
19.08.2020;1298
20.08.2020;1116
21.08.2020;1282
22.08.2020;1498
23.08.2020;1218
24.08.2020;842
25.08.2020;831
26.08.2020;1301
27.08.2020;1270
28.08.2020;1388
29.08.2020;1591
30.08.2020;1632
31.08.2020;1230
01.09.2020;1171
02.09.2020;1513
03.09.2020;2288
04.09.2020;3077
05.09.2020;3152
06.09.2020;3092
07.09.2020;2551
08.09.2020;2465
09.09.2020;3931
10.09.2020;3370
11.09.2020;3365
12.09.2020;3628
13.09.2020;3324
14.09.2020;2670
15.09.2020;2154
16.09.2020;3428
17.09.2020;3551
18.09.2020;4399
19.09.2020;4675
20.09.2020;4973
21.09.2020;4889
22.09.2020;5340
23.09.2020;5627
24.09.2020;6441
25.09.2020;7096
26.09.2020;7682
27.09.2020;7318
28.09.2020;6810
29.09.2020;7023
30.09.2020;9983
01.10.2020;10366
02.10.2020;12717
03.10.2020;13357
04.10.2020;13854
05.10.2020;11667
06.10.2020;11953
07.10.2020;16753
08.10.2020;17250
09.10.2020;18573
10.10.2020;18425
11.10.2020;15893
12.10.2020;12648
13.10.2020;12202
14.10.2020;19671
15.10.2020;19116
16.10.2020;19920
17.10.2020;18607
18.10.2020;17915
19.10.2020;14882
20.10.2020;14311
21.10.2020;25872
22.10.2020;25613
23.10.2020;25714
24.10.2020;23475
25.10.2020;21694
26.10.2020;16434
27.10.2020;15896
28.10.2020;26807
29.10.2020;24350
30.10.2020;23901
31.10.2020;23614
01.11.2020;22890
02.11.2020;16673
03.11.2020;15970
04.11.2020;31925
05.11.2020;25943
06.11.2020;24027
07.11.2020;24062
08.11.2020;23660
09.11.2020;18766
10.11.2020;20245
11.11.2020;31511
12.11.2020;27789
13.11.2020;27757
14.11.2020;24826
15.11.2020;24389
16.11.2020;18223
17.11.2020;16232
18.11.2020;26951
19.11.2020;23487
20.11.2020;21080
21.11.2020;18041
22.11.2020;17100
23.11.2020;12533
24.11.2020;11895
25.11.2020;19024
26.11.2020;16677
27.11.2020;16813
28.11.2020;14761
29.11.2020;14555
30.11.2020;11086
01.12.2020;10851
02.12.2020;18197
03.12.2020;16684
04.12.2020;16676
05.12.2020;15860
06.12.2020;15834
07.12.2020;12893
08.12.2020;13731
09.12.2020;21585
10.12.2020;21065
11.12.2020;21909
12.12.2020;22916
13.12.2020;24390
14.12.2020;19588
15.12.2020;22266
16.12.2020;35197
17.12.2020;34378
18.12.2020;35427
19.12.2020;34438
20.12.2020;36419
21.12.2020;25590
22.12.2020;33066
23.12.2020;48192
24.12.2020;46475
25.12.2020;42936
26.12.2020;32392
27.12.2020;14419
28.12.2020;41110
29.12.2020;48520
30.12.2020;46409
31.12.2020;83090
